// ========================================
// CREATURE TYPES
// ========================================
MothGrub|Larva de polilla
Visit Spinning Top in <location>|Visitar a Peonza en <location>
Visit Spinning Top <amount> times while starving|Visitar a Peonza <amount> veces mientras te mueres de hambre
Visit Spinning Top <amount> times|Visitar a Peonza <amount> veces
Visit The Prince|Visitar al Príncipe
Visit The Weaver in <region>|Visitar al Tejedor en <region>

// ========================================
// CHALLENGUE CONFIG
// ========================================
Amount|Cantidad
Amount of Items|Cantidad de objetos
Amount of Neurons|Cantidad de neuronas
Any Shelter|Cualquier refugio
Any Region|Cualquier región
Any Weapon|Cualquier arma
At once|De una vez
Broadcast|Transmisión
Common Pearls|Perlas comunes
Creature Type|Tipo de criatura
Deliver|Entregar
Different Regions|Regiones diferentes
Food type|Tipo de comida
From|Desde
From Region|Desde la región
From Scavenger Toll|Desde el peaje de carroñeros
In One Cycle|En un Ciclo
In one Cycle|En un ciclo
Item|Objeto
Item to Craft|Objeto a fabricar
Item type|Tipo de objeto
Passage|Pasaje
Pass the Toll|Pasar el peaje
Pearl|Perla
Pearl from Region|Perla de la región
Portal Room|Sala del portal
Region|Región
Room|Sala
Scavenger Toll|Peaje de carroñeros
Specific Creature Type|Tipo de criatura específico
Specific Echo|Eco específico
Specific location|Ubicación específica
Specific Pearl|Perla específica
Specific toll|Peaje específico
Target Score|Puntuación objetivo
To|Hacia
To Region|Hacia la región
Unlock|Desbloquear
Value|Valor
Via a Death Pit|A través de un pozo mortal
Weapon|Arma
Weapon Used|Arma utilizada
While Starving|Mientras estas hambriento
While under mushroom effect|Mientras está bajo los efectos de hongos



// ========================================
// ACTIONS
// ========================================
Bring|Traer
Hoard|Acumular

// ========================================
// PREPOSITIONS & CONNECTORS
// ========================================
 and then pass it| y luego pasarla
 and then pass them| y luego pasarlas
 from| de
 in| en
 in different regions| en diferentes regiones
in diff erent regions|en diferentes regiones
 in one cycle| en un ciclo
in one cycle|en un ciclo
 out of| fuera de
 to| a
in the same|en el mismo
to any|a cualquier

// ========================================
// MODIFIERS & CONDITIONS
// ========================================
 surface| superficie
 underground| subterráneo
 while starving| mientras estés hambriento
 while under mushroom effect| mientras estás bajo los efectos de hongos
 with| con
 with a death pit| con un pozo mortal
while starving|mientras estés hambriento

// ========================================
// UI MESSAGES & NOTIFICATIONS
// ========================================
<LINE>Completed by: |<LINE>Completado por: 
<LINE>Failed by:|<LINE>Fallado por:
<LINE>Save the game to Complete|<LINE>Guarda el juego para Completar
Click on a challenge type to block it from generating|Haz clic en un tipo de desafío para bloquear su generación
End Session|Terminar Sesión
Exit the game and abandon the save or wait for host to end the session.|Sal del juego y abandona la partida o espera a que el anfitrión termine la sesión.
Game concluded!|¡Partida concluida!
Number of challenges completed for each team: |Número de desafíos completados por cada equipo: 
Number of challenges completed: |Número de desafíos completados: 
Please paste a board from the same slugcat that's currently selected.|Por favor pega un tablero del mismo slugcat que está seleccionado actualmente.
Press the button in the bingo HUD or abandon the save to end the bingo session.|Presiona el botón en el HUD de bingo o abandona la partida para terminar la sesión de bingo.
Press the button in the bingo HUD to end the bingo session for everyone.|Presiona el botón en el HUD de bingo para terminar la sesión de bingo para todos.
Provided Slugcat: |Slugcat proporcionado: 
Selected slugcat: |Slugcat seleccionado: 
Slugcat mismatch!<LINE><LINE>|¡Los slugcats no coinciden!<LINE><LINE>
Tally up|Conteo final
Team <team_name> won!|¡El equipo <team_name> ganó!
We have a tie!|¡Tenemos un empate!
You feel the presence of a vista . . .|Sientes la presencia de una vista . . .
You won!|¡Ganaste!

// ========================================
// MENU & INTERFACE
// ========================================
<hostName>'s lobby|Sala de <hostName>
Allowed |Permitido 
AVAILABLE: |DISPONIBLE: 
BACK|ATRÁS
BEGIN|EMPEZAR
Bingo |Bingo 
Bingo - Scheming|Bingo - En planificación
BINGO|BINGO
Blackout |  Bingo    <LINE> completo 
Board view|Vista del tablero
Burdens:|Sacrificios:
Burdens: |Sacrificios: 
CANCEL|CANCELAR
Cannot reconnect to host.|No se pudo reconectar con el anfitrión.
CLOSE|CERRAR
CONFIGURE<LINE>PERKS & BURDENS|CONFIGURAR<LINE>VENTAJAS Y SACRIFICIOS
CONTINUE<LINE>BINGO|CONTINUAR<LINE>BINGO
CONTINUE<LINE>MULTIPLAYER|CONTINUAR<LINE>MULTIJUGADOR
CONTINUE<LINE>SPECTATING|CONTINUAR<LINE>ESPECTANDO
Copy board|Copiar tablero
CREATE|CREAR
CREDITS|CRÉDITOS
Disabled |Desactivado 
Friends only: |Solo amigos: 
Friends only: No|Solo amigos: No
Friends only: Yes|Solo amigos: Sí
Game mode:|Modo de juego:
Game mode: |Modo de juego: 
Host decides |El anfitrión decide 
I'M<LINE>READY|ESTOY<LINE>LISTO
I'M NOT<LINE>READY|NO ESTOY<LINE>LISTO
JOIN|UNIRSE
Kick|Expulsar
Leave Lobby|Salir de la Sala
  Lockout  <LINE> (no ties)  |    Bloqueo      <LINE>  (sin empates)  
 Lockout <LINE> (ties)    |    Bloqueo     <LINE> (con empates) 
Lost connection to host.|Se perdió la conexión con el anfitrión.
MANUAL|MANUAL
Max Players: |Jugadores máximos: 
Mod version: |Versión del mod: 
Multiplayer|Multijugador
No|No
Not all players are ready !|¡No todos los jugadores están listos!
Now Playing:|Reproduciendo:
PASSAGE|PASAJE
Paste board|Pegar Tablero
Perks:|Ventajas:
Perks: |Ventajas: 
PLAY<LINE>BINGO|JUGAR<LINE>BINGO
Please enter the expedition menu to accept an invite.|Por favor entra al menú de expedición para aceptar una invitación.
Profiles|Perfiles
Refresh|Refrescar
Require host's mods: |Requeriere mods del anfitrión: 
Shelter: |Refugio: 
Slugcat: |Gato-Babosa: 
The shelter players start in. Please type in a valid shelter's room name (CASE SENSITIVE), or 'random'|El refugio donde los jugadores empiezan. Por favor escriba un nombre de refugio válido (SENSIBLE A MAYÚSCULAS), o 'random'
Trying to reconnect to the host.|Intentando reconectar con el anfitrión.
unloaded|descargado
Yes|Sí
You've been kicked from the lobby.|Has sido expulsado de la sala.

// ========================================
// REMIX
// ========================================
-  Controller 1|-  Control 1
-  Keyboard|-  Teclado
Bingo Config|Configuración de Bingo
Bingo Mode Config|Configuración del Modo Bingo
Bingo Mode Gameplay Config|Ajustes de jugabilidad del modo Bingo
Black|Negro
Blue|Azul
Cyan|Cian

// SEND HELP, HOW TF SOULD TRANSLATE THIS
Dial Warp|Dial Warp
Dial Warp (Ripple Egg Warp) is unlocked from the start. <LINE>Watcher Exclusive|El Teletransporte con Huevo de Onda (Dial Warp) está disponible desde el inicio. <LINE>Exclusivo del Vigilante
Discord Rich Presence:|Presencia enriquecida de Discord:
Fill icon sprites:|Rellenar sprites de los iconos:
Fill the crosses and arrows on certain goals|Rellena las cruces y flechas en ciertos objetivos
Gameplay|Jugabilidad
Green|Verde
Hurricane|Gris tormenta
Main|Principal
Open Bingo HUD keybind:|Tecla para abrir el HUD del Bingo:
Orange|Naranja
Pink|Rosa
Play custom music in bingo menu:|Reproducir música personalizada en el menú de bingo:
Play custom music when game ends:|Reproducir música personalizada al finalizar la partida:
Play custom music when your team is losing:|Reproducir música personalizada cuando el equipo va perdiendo:
Quick reset keybind:|Tecla de reinicio rápido:
Red|Rojo
Reset a Bingo/Expedition save instantly|Resetea la partida de Bingo/Expedición instantaneamente

// What is the rw translation of rippel eggs, Dial Warp?
Ripple eggs required for dial warp:|Huevos de onda requerido para el Teletransporte (Dial Warp):
Show Bingo Mode as your Discord activity (restart to take effect)|Mostrar el Modo Bingo como actividad en Discord (requiere reinicio)
Singleplayer team color:|Color del equipo en modo un jugador
Start with the Dial Warp perk fully charged:|Comenzar con la ventaja de Teletransporte completamente cargada:

Use map input instead:|Usar control del mapa en su lugar:
Use map<LINE>input instead:|Usar control del<LINE>mapa en su lugar:
Which button opens/closes the Bingo grid in game|Botón que abre/cierra la cuadrícula de Bingo en el juego
Which team's color to use in singleplayer|Qué color de equipo usar en modo un jugador
1:1 spectator board:|Tablero de espectador 1:1



// ========================================
// ARENA & SAFARI TYPES
// ========================================
<region> Arenas|Arena en <region>
<region> Safari|Safari en <region>
Safari|Safari
Arenas|Arenas
Filtration System Arenas|Arenas del sistema de filtración
Gutter Arenas|Arenas de las Alcantarillas
Past Garbage Wastes|Pasado de Residuos de Basura

// ========================================
// PEARL COLORS
// ========================================
audio|audio
Light Blue|Azul claro
Pale Green|Verde pálido
Deep Magenta|Magenta profundo
Bright Red|Rojo brillante
Deep Pink|Rosa profundo
Pale Yellow|Amarillo pálido
Bright Magenta|Magenta brillante
Bright Purple|Púrpura brillante
Bright Green|Verde brillante
Viridian|Verde viridiano
Gold|Dorado
Bright Blue|Azul brillante
Teal|Verde azulado
Dark Magenta|Magenta oscuro
Dark Blue|Azul oscuro
Dark Green|Verde oscuro
Dark Purple|Púrpura oscuro
Olive Green|Verde oliva
Deep Purple|Púrpura profundo
Light Purple|Púrpura claro
Light Yellow|Amarillo claro
Deep Green|Verde profundo
Bronze|Bronce
Light Pink|Rosa claro
Dull Yellow|Amarillo apagado
Pink|Rosa
Dark Teal|Verde azulado oscuro
Bright Viridian|Verde viridiano brillante
Pale Pink|Rosa pálido
Beige|Beige
Amber|Ámbar
Pale Viridian|Viridiano pálido
Light Green|Verde claro
Orange|Naranja
Light Magenta|Magenta claro

//wtf???
Erm, pearl colored pearl|Eh, perla color perla
